Record_Type,Policy_Number,Foreign_Reg_Ind,Registration_Number,Vehicle_Derivative,Named_Driver,Trade_Plate_Ind,Cover_Start_Date,Cover_End_Date,Insert_Date,Update_date,Active_Flag,MID_File_Seq_No,MID_Sent_Ind,Mid_Sent_Date,MID_Status,MID_Error_Codes,Vehicle_Make,Vehicle_Model,Inserted_By,Updated_By
"N","F42001F             ","U","CU20XGX"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","C-HR DESIGN HEV","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42001F             ","U","CV12MFE"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","AVENSIS T SPIRI","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42001F             ","U","CV20DHC"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","COROLLA ICON HE","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42001F             ","U","CV70JXH","","","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","HILUX","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42005P             ","U","FH52APO"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","HIACE","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42005P             ","U","FJ08KHE"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","HINO 700","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42005P             ","U","FP70GGK"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","DAF","CF410","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42005P             ","U","KD16FLN"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","AURIS","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42005P             ","U","KF17HYU"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","AVENSIS","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42005P             ","U","LL13PBF"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","AVENSIS","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42005P             ","U","LL66WXX"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","AVENSIS","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42005P             ","U","LM66EEO"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","HILUX","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42005P             ","U","LN15XWU"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","AVENSIS","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42005P             ","U","LO16WDP"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","AURIS","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42005P             ","U","LO17UYF"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","AVENSIS","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42005P             ","U","LO69XYU"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","RAV4","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42005P             ","U","LR22YRE","","","U",2022-03-25 00:00:00,2022-12-31 00:00:00,2022-04-04 00:00:00,2022-04-04 00:00:00,"A",1292,"Y",2022-04-04 00:00:00,"acknowledged","","TOYOTA","C-HR","colin.james@aioinissaydowa.eu","MID RESPONSE JOB"
